idVisit,serverTime,timeSpent,actionCategory,actionName,userName,department,team,title,organization,name,country
202357,2016-12-19 18:25:44,,Webnei downloaded,AirScale System Module in FDD LTE (FL16A),Age of Sail  ,CO Customer Operations,CO HoS MN LAT,Head of Technology Office,CO HoS MN,Age of Sail  ,Brazil
202367,2016-12-19 18:26:53,32,WebNei clicked,SRAN16.10 overview and upgrade,Age of Sail II  ,MN Mobile Networks,MN GS LAT RSO51,Services and Solution Analyst SR,MN Global Services,Age of Sail II  ,Brazil
202367,2016-12-19 18:27:25,8,Webnei downloaded,SRAN16.10 overview and upgrade,Age of Sail II  ,MN Mobile Networks,MN GS LAT RSO51,Services and Solution Analyst SR,MN Global Services,Age of Sail II  ,Brazil
202367,2016-12-19 18:27:33,,Webnei downloaded,SRAN16.10 overview and upgrade,Age of Sail II  ,MN Mobile Networks,MN GS LAT RSO51,Services and Solution Analyst SR,MN Global Services,Age of Sail II  ,Brazil
202367,2016-12-19 18:27:33,92,Webnei downloaded,SRAN16.10 overview and upgrade,Age of Sail II  ,MN Mobile Networks,MN GS LAT RSO51,Services and Solution Analyst SR,MN Global Services,Age of Sail II  ,Brazil
202367,2016-12-19 18:29:05,,WebNei clicked,SRAN16.2 Transport Migration,Age of Sail II  ,MN Mobile Networks,MN GS LAT RSO51,Services and Solution Analyst SR,MN Global Services,Age of Sail II  ,Brazil
202368,2016-12-19 18:30:38,943,WebNei clicked,IoT - Internet of Things - Introduction,"Age of Sail II: Privateer's Bounty  ",AA Applications &amp; Analytics,AA NM SON Architecture1,Principal Systems Engineer,AA Network Mgmt &amp; Self Org,"Age of Sail II: Privateer's Bounty  ",USA
202370,2016-12-19 18:30:53,19,WebNei clicked,Step towards Next Gen Telco: 5G introduction,Age of Wonders  ,CO Customer Operations,CO HoS MN CSS Radio &amp; AMS2,Radio Access Solutions Manager,CO HoS MN,Age of Wonders  ,Mexico
202370,2016-12-19 18:31:12,,Webnei downloaded,Step towards Next Gen Telco: 5G introduction,Age of Wonders  ,CO Customer Operations,CO HoS MN CSS Radio &amp; AMS2,Radio Access Solutions Manager,CO HoS MN,Age of Wonders  ,Mexico
202368,2016-12-19 18:46:21,11,Webnei downloaded,IoT - Internet of Things - Introduction,"Age of Sail II: Privateer's Bounty  ",AA Applications &amp; Analytics,AA NM SON Architecture1,Principal Systems Engineer,AA Network Mgmt &amp; Self Org,"Age of Sail II: Privateer's Bounty  ",USA
